House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Upland Creek,Ross,Barton,26,Head,Married,Male,"Solicitor, Scotland",None,Christian
1,Upland Creek,Amelia,Barton,26,Wife,Married,Female,Lawyer,None,None
2,Upland Creek,Francesca,Smith,50,Head,Married,Female,Unemployed,None,None
2,Upland Creek,Connor,Smith,53,Husband,Married,Male,Unemployed, ,None
2,Upland Creek,Jacob,Smith,15,Adopted Son,NA,Male,Student,None,NA
3,Upland Creek,Paige,Walker,20,Head,Single,Female,University Student,None,Muslim
3,Upland Creek,Barbara,Wright,55,None,Single,Female,Public relations account executive,None,None
3,Upland Creek,Jacob,Stevenson,30,None,Single,Male,Engineering geologist,None,Catholic
4,Upland Creek,Declan,Forster,24,Head,Divorced,Male,Chartered legal executive (England and Wales),None,Christian
5,Upland Creek,Melanie,Kelly,49,Head,Married,Female,Ophthalmologist,None,Catholic
5,Upland Creek,Luke,Kelly,50,Husband,Married,Male,Dealer,None,None
5,Upland Creek,Ben,Kelly,16,Son,NA,Male,Student,None,NA
5,Upland Creek,Dorothy,Kelly,13,Daughter,NA,Female,Student,None,NA
5,Upland Creek,Lisa,Kelly,12,Daughter,NA,Female,Student,None,NA
5,Upland Creek,Darren,Clarke-Kelly,12,Son,NA,Male,Student,None,NA
6,Upland Creek,Tracey,Turner,54,Head,Single,Female,Unemployed,None,Christian
6,Upland Creek,Charles,Turner,18,Son,Single,Male,Student,None,Christian
6,Upland Creek,Samuel,Turner,9,Son,NA,Male,Student,None,NA
6,Upland Creek,Charlotte,Turner,8,Daughter,NA,Female,Student,None,NA
6,Upland Creek,Keith,Turner,3,Son,NA,Male,Child,None,NA
7,Upland Creek,Clive,Roberts,42,Head,Married,Male,Information officer,None,Christian
7,Upland Creek,Molly,Roberts,42,Wife,Married,Female,Marketing executive,None,None
8,Upland Creek,Heather,Stokes,41,Head,Married,Female,Brewing technologist,None,None
8,Upland Creek,Joshua,Stokes,42,Husband,Married,Male,"Psychologist, clinical",None,None
8,Upland Creek,Abbie,Stokes,17,Daughter,NA,Female,Student,Mental Disability,NA
9,Upland Creek,Dean,Archer,44,Head,Single,Male,Mining engineer,None,Christian
10,Upland Creek,Kenneth,Shaw,31,Head,Single,Male,"Chemist, analytical",None,None
10,Upland Creek,Adrian,Austin,21,None,Single,Male,University Student,None,None
10,Upland Creek,Joan,Wilson,24,None,Single,Female,Air broker,None,Christian
10,Upland Creek,Sheila,French,59,None,Single,Female,Landscape architect,None,Catholic
11,Upland Creek,Chelsea,Hughes,54,Head,Divorced,Female,Publishing copy,None,Methodist
11,Upland Creek,Stacey,Hughes,19,Daughter,Single,Female,University Student,None,Methodist
11,Upland Creek,Rosemary,Hughes,14,Daughter,NA,Female,Student,None,NA
11,Upland Creek,Lesley,Hughes,11,Daughter,NA,Female,Student,None,NA
